"user_id","datetime","weekday","place_name","transport_mode","lon_x","lat_y","geometry","traj","traj_id2"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 18:26:07,"Tue",NA,"Bike",8.52312,47.360006,c(2681926.78498977, 1246027.94285913),"COMBINE","2"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 18:26:18,"Tue",NA,"Bike",8.52362,47.360133,c(2681964.35923467, 1246042.58369866),"COMBINE","2"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 18:26:32,"Tue",NA,"Bike",8.52453,47.36031,c(2682032.82718307, 1246063.21184443),"COMBINE","2"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 18:26:42,"Tue",NA,"Bike",8.524835,47.360736,c(2682055.21084514, 1246110.88955152),"COMBINE","2"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 18:26:53,"Tue",NA,"Bike",8.525732,47.361287,c(2682122.11967786, 1246173.08308297),"COMBINE","2"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 18:27:07,"Tue",NA,"Bike",8.526662,47.361927,c(2682191.38260208, 1246245.20615938),"COMBINE","2"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 18:27:17,"Tue",NA,"Bike",8.527161,47.362473,c(2682228.23310118, 1246306.42827198),"COMBINE","2"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 18:27:27,"Tue",NA,"Bike",8.527691,47.362872,c(2682267.65121257, 1246351.34098884),"COMBINE","2"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 18:27:37,"Tue",NA,"Bike",8.527634,47.363346,c(2682262.61440182, 1246403.97627997),"COMBINE","2"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 18:27:48,"Tue",NA,"Bike",8.528403,47.363681,c(2682320.18292337, 1246442.02498486),"COMBINE","2"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 18:27:58,"Tue",NA,"Bike",8.529267,47.363996,c(2682384.95726182, 1246477.95056563),"COMBINE","2"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 18:28:12,"Tue",NA,"Bike",8.530495,47.364405,c(2682477.07932342, 1246524.70944229),"COMBINE","2"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 18:28:22,"Tue",NA,"Bike",8.531019,47.364966,c(2682515.79015598, 1246587.6272302),"COMBINE","2"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 18:28:33,"Tue",NA,"Bike",8.531584,47.364845,c(2682558.65298836, 1246574.76980979),"COMBINE","2"
